,gps,wins,gaa,sv%
0,16.200000000000003,51,2.14,0.925
1,15.899999999999999,39,1.99,0.931
2,14.100000000000001,18,2.66,0.91
3,13.200000000000001,27,2.95,0.91
4,13.200000000000001,18,2.67,0.921
