,vote-share,gps,g-wins,g-losses,gaa,save-percentage,mvp
131,0.67,9.0,23,10,1.56,0.94,0
132,17.37,9.2,21,11,2.0,0.932,0
133,0.61,9.2,24,12,2.16,0.924,0
134,0.56,6.5,12,9,1.69,0.941,0
135,0.28,6.7,23,11,2.5,0.91,0
136,0.17,6.2,24,15,2.48,0.909,0
137,0.17,5.4,21,13,2.59,0.905,0
138,0.06,9.3,24,16,2.05,0.926,0
139,0.06,7.5,19,8,2.46,0.924,0
140,18.69,15.5,41,14,2.41,0.927,0
141,3.8,12.9,37,14,2.23,0.924,0
142,2.55,13.1,36,15,2.04,0.93,0
143,1.46,13.9,34,20,2.32,0.927,0
144,95.41,16.2,44,16,1.96,0.933,1
145,26.11,12.6,36,14,2.07,0.929,0
146,3.12,12.6,41,17,2.18,0.923,0
147,0.57,6.5,20,1,1.79,0.941,0
148,0.06,12.2,34,20,2.32,0.92,0
149,0.06,14.4,41,20,2.22,0.923,0
150,19.47,12.1,48,9,2.2,0.922,0
151,2.8,12.2,35,21,2.06,0.926,0
152,0.53,12.1,35,19,2.35,0.922,0
153,0.33,12.6,35,21,2.48,0.92,0
154,0.33,11.1,27,25,2.15,0.924,0
155,28.08,14.9,41,17,2.06,0.931,0
156,1.14,12.3,42,13,2.07,0.925,0
157,0.24,13.1,40,19,2.25,0.923,0
158,0.06,14.0,42,22,2.39,0.919,0
159,0.55,13.2,42,13,2.31,0.927,0
160,0.3,14.0,44,11,2.36,0.924,0
161,0.18,12.9,37,22,2.42,0.921,0
162,1.23,6.0,24,5,1.89,0.927,0
163,0.41,10.3,35,21,2.51,0.913,0
164,0.29,10.8,27,15,1.98,0.934,0
165,0.06,12.0,27,20,2.33,0.925,0
166,0.06,12.4,39,10,2.4,0.925,0
167,16.65,12.5,31,21,2.57,0.922,0
168,0.18,9.2,23,16,2.75,0.918,0
169,0.06,6.7,20,12,2.43,0.921,0
170,5.7,9.6,31,10,2.21,0.925,0
171,1.4,8.6,21,11,2.28,0.927,0
172,0.1,9.1,24,17,2.58,0.916,0
173,37.85,13.6,36,13,2.07,0.935,0
174,6.48,14.1,31,22,2.34,0.924,0
175,3.11,13.2,40,6,1.89,0.938,0
176,1.12,14.3,37,25,2.49,0.92,0
177,0.2,14.9,33,23,2.69,0.919,0
178,5.36,13.6,37,19,2.39,0.921,0
179,0.05,9.4,25,16,2.67,0.911,0
