,vote-share,goals,assists,ops,dps,plus-minus,mvp,position_C,position_D,position_W,points,tps
90,0.67,29,76,6.1,1.4,14,0,1,0,0,105,7.5
91,0.67,58,26,6.8,0.9,-2,0,0,0,1,84,7.7
92,0.33,19,58,5.1,5.0,17,0,0,1,0,77,10.1
93,0.33,33,35,4.7,1.1,15,0,0,0,1,68,5.800000000000001
94,0.33,34,68,6.2,1.3,11,0,1,0,0,102,7.5
95,0.33,24,53,4.9,0.8,5,0,1,0,0,77,5.7
96,0.33,45,54,6.9,1.6,32,0,1,0,0,99,8.5
97,0.33,40,57,6.6,1.5,22,0,0,0,1,97,8.1
98,0.33,19,63,5.5,5.8,25,0,0,1,0,82,11.3
99,94.44,62,121,15.2,2.4,69,1,1,0,0,183,17.599999999999998
100,35.19,23,72,7.2,6.4,44,0,0,1,0,95,13.600000000000001
101,12.59,54,53,9.5,1.1,12,0,1,0,0,107,10.6
102,11.11,42,63,7.8,1.1,-4,0,1,0,0,105,8.9
103,4.07,47,53,7.9,1.2,2,0,1,0,0,100,9.1
104,1.85,31,59,5.9,1.2,-2,0,1,0,0,90,7.1000000000000005
105,1.85,15,43,4.1,6.5,57,0,0,1,0,58,10.6
106,1.11,30,63,6.4,1.3,11,0,1,0,0,93,7.7
107,1.11,37,70,7.7,1.1,22,0,1,0,0,107,8.8
108,0.74,52,51,8.6,1.2,11,0,0,0,1,103,9.799999999999999
109,0.37,40,39,6.0,1.3,8,0,0,0,1,79,7.3
110,92.7,70,98,14.7,1.5,23,1,1,0,0,168,16.2
111,23.17,40,109,11.3,1.6,39,0,1,0,0,149,12.9
112,20.32,50,52,8.9,1.5,30,0,1,0,0,102,10.4
113,6.67,44,87,9.8,1.2,4,0,1,0,0,131,11.0
114,0.63,44,77,9.0,0.9,-9,0,1,0,0,121,9.9
115,0.32,17,64,5.5,6.2,34,0,0,1,0,81,11.7
116,0.32,37,57,6.6,1.6,19,0,1,0,0,94,8.2
117,0.32,21,70,6.7,4.4,39,0,0,1,0,91,11.100000000000001
118,84.76,54,114,13.2,0.9,15,1,1,0,0,168,14.1
119,59.37,85,114,17.7,1.9,41,0,1,0,0,199,19.599999999999998
120,34.6,65,90,13.0,1.4,17,0,1,0,0,155,14.4
121,0.32,51,59,8.8,2.2,51,0,0,0,1,110,11.0
122,0.32,15,58,4.8,6.7,35,0,0,1,0,73,11.5
123,72.06,45,84,9.8,1.5,19,1,1,0,0,129,11.3
124,71.43,19,65,6.1,6.4,31,0,0,1,0,84,12.5
125,25.4,72,41,10.7,1.1,-1,0,0,0,1,113,11.799999999999999
126,5.08,40,102,10.5,0.8,8,0,1,0,0,142,11.3
127,2.54,54,51,8.9,0.6,-13,0,1,0,0,105,9.5
128,0.95,62,65,11.1,0.7,-6,0,1,0,0,127,11.799999999999999
129,83.94,86,45,13.8,1.5,23,1,0,0,1,131,15.3
130,66.67,41,122,13.0,1.5,30,0,1,0,0,163,14.5
131,4.55,21,73,7.6,5.6,33,0,0,1,0,94,13.2
132,1.52,44,57,8.4,2.2,37,0,0,0,1,101,10.600000000000001
133,1.52,51,53,9.2,2.1,48,0,0,0,1,104,11.299999999999999
134,0.91,48,61,9.5,0.3,-26,0,1,0,0,109,9.8
135,0.61,28,75,8.6,5.5,42,0,0,1,0,103,14.1
136,0.3,45,33,6.6,1.2,8,0,0,0,1,78,7.8
137,0.3,12,52,3.9,1.1,15,0,1,0,0,64,5.0
138,0.3,40,73,8.9,0.6,0,0,0,0,1,113,9.5
139,0.3,40,31,6.0,1.1,2,0,0,0,1,71,7.1
140,98.84,35,72,8.1,1.7,31,1,1,0,0,107,9.799999999999999
141,14.2,70,39,11.0,0.9,-2,0,0,0,1,109,11.9
142,8.41,44,87,11.0,1.4,27,0,1,0,0,131,12.4
143,8.41,53,50,9.1,1.9,23,0,1,0,0,103,11.0
144,2.9,45,58,8.7,1.4,26,0,1,0,0,103,10.1
145,1.16,54,69,10.6,1.0,8,0,0,0,1,123,11.6
146,0.87,26,61,5.9,1.8,25,0,1,0,0,87,7.7
147,0.87,17,42,4.6,4.6,24,0,0,1,0,59,9.2
148,0.87,22,80,8.1,5.1,25,0,0,1,0,102,13.2
149,0.87,31,44,5.2,1.1,3,0,0,0,1,75,6.300000000000001
150,0.29,21,60,6.3,5.0,11,0,0,1,0,81,11.3
151,0.29,28,50,5.1,0.8,-2,0,1,0,0,78,5.8999999999999995
152,0.29,46,47,8.9,1.0,10,0,1,0,0,93,9.9
153,99.2,69,91,14.7,2.2,55,1,1,0,0,160,16.9
154,39.6,32,95,8.7,2.2,32,0,1,0,0,127,10.899999999999999
155,20.8,53,95,11.9,1.3,11,0,1,0,0,148,13.200000000000001
156,11.2,45,97,10.7,1.5,15,0,1,0,0,142,12.2
157,4.8,58,74,11.0,1.0,-1,0,1,0,0,132,12.0
158,2.0,76,56,12.2,1.3,8,0,0,0,1,132,13.5
159,1.2,15,58,4.8,6.3,14,0,0,1,0,73,11.1
160,0.8,58,79,11.1,1.8,33,0,1,0,0,137,12.9
161,0.4,41,34,6.4,1.4,28,0,1,0,0,75,7.800000000000001
162,71.85,56,64,11.7,2.1,48,1,1,0,0,120,13.799999999999999
163,18.52,27,84,8.5,1.9,25,0,1,0,0,111,10.4
164,6.67,20,71,7.8,5.7,26,0,0,1,0,91,13.5
165,4.81,18,60,6.3,6.9,53,0,0,1,0,78,13.2
166,2.96,52,27,7.8,1.9,27,0,0,0,1,79,9.7
167,1.85,50,24,8.5,1.1,12,0,0,0,1,74,9.6
168,1.11,46,61,9.5,1.8,21,0,1,0,0,107,11.3
169,0.74,60,47,11.3,1.0,1,0,0,0,1,107,12.3
170,0.74,32,80,9.1,1.4,10,0,1,0,0,112,10.5
171,0.37,18,38,3.9,1.5,20,0,1,0,0,56,5.4
172,84.0,29,41,7.3,1.5,27,1,1,0,0,70,8.8
173,36.0,32,38,7.3,1.0,23,0,0,0,1,70,8.3
174,20.0,14,44,5.5,3.5,18,0,0,1,0,58,9.0
175,9.33,29,29,6.1,0.6,6,0,0,0,1,58,6.699999999999999
176,0.0,29,21,5.5,0.7,13,0,0,0,1,50,6.2
177,81.3,69,92,16.6,0.7,10,1,1,0,0,161,17.3
178,50.93,47,52,9.6,1.8,29,0,1,0,0,99,11.4
179,39.44,47,68,11.0,1.8,26,0,1,0,0,115,12.8
180,28.89,62,87,14.6,1.5,31,0,0,0,1,149,16.1
181,12.59,39,68,9.5,2.5,49,0,0,0,1,107,12.0
182,9.63,51,69,11.6,1.1,14,0,1,0,0,120,12.7
183,5.19,50,58,10.3,1.3,9,0,0,0,1,108,11.600000000000001
184,3.7,14,58,5.7,5.6,25,0,0,1,0,72,11.3
185,2.41,20,62,7.4,5.7,31,0,0,1,0,82,13.100000000000001
186,1.48,30,86,9.5,1.5,26,0,1,0,0,116,11.0
187,1.11,50,48,10.0,1.2,11,0,0,0,1,98,11.2
188,0.93,51,46,9.5,1.7,21,0,0,0,1,97,11.2
189,0.74,36,59,8.1,1.9,29,0,1,0,0,95,10.0
190,0.74,55,52,10.9,1.2,14,0,0,0,1,107,12.1
191,0.56,14,20,2.6,8.5,60,0,0,1,0,34,11.1
192,0.37,40,68,9.8,1.1,5,0,0,0,1,108,10.9
193,0.19,52,28,8.6,1.6,18,0,0,0,1,80,10.2
194,0.19,15,70,7.0,4.5,12,0,0,1,0,85,11.5
195,0.19,32,38,5.7,1.3,4,0,0,0,1,70,7.0
196,44.26,44,55,10.6,2.0,36,0,0,0,1,99,12.6
197,33.52,50,72,12.8,1.7,27,0,1,0,0,122,14.5
198,12.96,51,58,11.8,1.9,28,0,0,0,1,109,13.700000000000001
199,12.22,50,47,10.6,2.4,44,0,0,0,1,97,13.0
200,8.15,35,48,7.8,2.4,43,0,1,0,0,83,10.2
201,5.56,32,47,8.4,1.6,31,0,1,0,0,79,10.0
202,4.63,52,34,9.7,1.2,-1,0,0,0,1,86,10.899999999999999
203,3.15,28,58,8.1,1.9,31,0,1,0,0,86,10.0
204,2.96,48,42,10.2,1.8,21,0,0,0,1,90,12.0
205,2.78,47,48,10.6,1.4,22,0,0,0,1,95,12.0
206,1.85,22,52,6.4,0.5,-10,0,1,0,0,74,6.9
207,1.48,25,72,8.2,1.3,12,0,1,0,0,97,9.5
208,1.11,20,58,7.5,5.6,31,0,0,1,0,78,13.1
209,0.93,41,36,7.9,2.2,35,0,0,0,1,77,10.100000000000001
210,0.56,41,53,9.7,1.3,6,0,1,0,0,94,11.0
211,0.19,22,60,6.7,1.2,2,0,1,0,0,82,7.9
212,0.19,47,41,9.3,2.3,32,0,0,0,1,88,11.600000000000001
213,57.04,35,67,10.9,1.7,17,0,0,0,1,102,12.6
214,45.74,52,34,12.0,1.3,12,0,0,0,1,86,13.3
215,8.52,23,67,8.2,0.9,-11,0,1,0,0,90,9.1
216,7.41,52,26,10.5,1.6,14,0,0,0,1,78,12.1
217,6.3,51,36,11.0,2.1,30,0,0,0,1,87,13.1
218,4.81,25,66,9.0,1.1,6,0,1,0,0,91,10.1
219,3.33,33,50,8.9,2.4,33,0,1,0,0,83,11.3
220,3.15,23,27,5.9,3.0,-3,0,0,1,0,50,8.9
221,1.3,39,30,8.4,1.7,16,0,1,0,0,69,10.1
222,1.3,17,42,6.1,5.5,22,0,0,1,0,59,11.6
223,1.11,25,62,8.2,1.6,12,0,1,0,0,87,9.799999999999999
224,1.11,9,27,2.9,7.3,47,0,0,1,0,36,10.2
225,0.37,24,45,6.7,0.9,3,0,1,0,0,69,7.6000000000000005
226,0.19,29,36,6.5,2.1,23,0,1,0,0,65,8.6
227,96.96,44,83,11.9,2.7,17,1,0,0,1,127,14.600000000000001
228,40.36,44,50,9.6,2.4,16,0,1,0,0,94,12.0
229,19.82,47,60,11.6,2.7,18,0,0,0,1,107,14.3
230,13.75,40,53,9.2,3.1,35,0,1,0,0,93,12.299999999999999
231,10.89,30,67,8.0,2.8,27,0,1,0,0,97,10.8
232,8.57,39,62,9.1,3.1,17,0,0,0,1,101,12.2
233,4.29,20,42,6.0,7.7,33,0,0,1,0,62,13.7
234,2.32,34,47,7.6,3.1,29,0,1,0,0,81,10.7
235,1.25,37,52,8.5,2.2,13,0,0,0,1,89,10.7
236,1.25,29,45,5.8,2.0,8,0,1,0,0,74,7.8
237,0.54,41,55,8.9,2.7,23,0,1,0,0,96,11.600000000000001
238,0.18,31,52,7.2,1.7,22,0,1,0,0,83,8.9
239,68.28,14,48,5.2,9.6,52,1,0,1,0,62,14.8
240,68.1,42,54,9.9,2.3,25,0,0,0,1,96,12.2
241,59.66,58,36,10.7,2.8,25,0,0,0,1,94,13.5
242,10.69,44,40,8.6,1.8,-1,0,0,0,1,84,10.4
243,5.17,28,63,7.6,3.1,20,0,0,0,1,91,10.7
244,4.48,35,44,7.3,2.5,28,0,1,0,0,79,9.8
245,3.79,20,53,7.1,5.8,19,0,0,1,0,73,12.899999999999999
246,3.62,38,43,7.3,2.5,0,0,1,0,0,81,9.8
247,0.86,29,20,4.9,1.6,11,0,0,0,1,49,6.5
248,0.69,28,53,7.4,2.7,30,0,1,0,0,81,10.100000000000001
249,0.52,41,37,8.3,2.2,24,0,0,0,1,78,10.5
250,0.17,35,37,7.4,2.0,16,0,0,0,1,72,9.4
251,0.17,29,34,5.4,1.5,0,0,0,0,1,63,6.9
252,0.17,15,56,3.9,2.4,13,0,1,0,0,71,6.3
253,93.87,54,64,12.2,3.6,45,1,1,0,0,118,15.799999999999999
254,43.87,35,41,8.3,1.3,15,0,1,0,0,76,9.600000000000001
255,33.87,52,69,12.1,2.0,19,0,0,0,1,121,14.1
256,9.84,40,56,9.5,3.0,45,0,0,0,1,96,12.5
257,9.84,25,65,6.8,2.2,12,0,1,0,0,90,9.0
258,6.61,59,33,9.5,2.4,-2,0,0,0,1,92,11.9
259,6.13,15,56,6.4,5.8,9,0,0,1,0,71,12.2
260,3.23,41,34,8.2,1.3,-2,0,0,0,1,75,9.5
261,2.74,33,51,6.9,3.2,26,0,1,0,0,84,10.100000000000001
262,2.42,40,48,8.6,1.9,10,0,1,0,0,88,10.5
263,2.1,9,22,1.9,6.1,40,0,0,1,0,31,8.0
264,1.61,44,51,8.8,1.7,12,0,0,0,1,95,10.5
265,1.13,32,37,6.0,2.3,12,0,1,0,0,69,8.3
266,1.13,45,36,8.0,2.3,8,0,0,0,1,81,10.3
267,0.65,36,59,8.1,1.8,-8,0,1,0,0,95,9.9
268,0.65,18,34,3.9,1.5,4,0,1,0,0,52,5.4
269,0.48,19,40,6.0,3.5,3,0,0,1,0,59,9.5
270,0.48,39,40,8.2,2.1,10,0,0,0,1,79,10.299999999999999
271,0.48,34,39,7.2,2.1,17,0,1,0,0,73,9.3
272,0.48,27,50,6.7,2.1,15,0,0,0,1,77,8.8
273,0.16,41,26,6.8,1.5,-18,0,0,0,1,67,8.3
274,70.0,52,44,11.2,3.2,27,1,0,0,1,96,14.399999999999999
275,10.32,40,50,9.6,2.3,22,0,0,0,1,90,11.899999999999999
276,7.74,27,50,6.7,2.1,4,0,1,0,0,77,8.8
277,6.61,26,53,6.3,2.9,12,0,1,0,0,79,9.2
278,5.65,41,39,8.7,1.6,6,0,1,0,0,80,10.299999999999999
279,3.87,37,38,7.8,2.5,23,0,0,0,1,75,10.3
280,1.77,25,35,4.8,2.4,19,0,1,0,0,60,7.199999999999999
281,1.61,21,46,5.9,2.6,32,0,1,0,0,67,8.5
282,1.61,36,49,9.1,2.1,21,0,0,0,1,85,11.2
283,1.45,37,34,7.7,1.6,3,0,0,0,1,71,9.3
284,1.29,41,30,7.8,2.9,31,0,0,0,1,71,10.7
285,0.97,9,50,5.0,5.5,13,0,0,1,0,59,10.5
286,0.48,6,33,2.8,7.2,40,0,0,1,0,39,10.0
287,0.48,31,37,6.2,2.4,20,0,1,0,0,68,8.6
288,0.32,19,55,5.5,2.2,2,0,1,0,0,74,7.7
289,0.32,32,43,7.2,1.5,-3,0,1,0,0,75,8.7
290,0.16,41,25,7.3,1.5,-1,0,0,0,1,66,8.8
291,0.16,32,44,7.1,1.9,2,0,0,0,1,76,9.0
292,0.16,19,34,4.1,1.5,9,0,1,0,0,53,5.6
293,0.16,22,46,6.2,1.5,7,0,1,0,0,68,7.7
294,0.16,38,37,8.2,2.5,21,0,0,0,1,75,10.7
295,81.94,29,77,10.2,3.4,52,1,1,0,0,106,13.6
296,55.16,48,56,11.7,1.8,6,0,0,0,1,104,13.5
297,21.13,36,65,10.1,2.0,12,0,1,0,0,101,12.1
298,16.13,46,51,10.6,1.7,2,0,0,0,1,97,12.299999999999999
299,7.42,16,52,6.7,5.6,22,0,0,1,0,68,12.3
300,6.94,28,57,7.6,3.1,34,0,1,0,0,85,10.7
301,6.61,18,44,6.1,7.1,40,0,0,1,0,62,13.2
302,3.55,36,47,8.1,2.0,15,0,1,0,0,83,10.1
303,2.26,45,35,9.2,1.9,8,0,0,0,1,80,11.1
304,1.61,50,48,11.1,3.5,52,0,0,0,1,98,14.6
305,0.97,28,63,8.3,1.1,-25,0,1,0,0,91,9.4
306,0.32,41,48,9.7,1.4,-8,0,0,0,1,89,11.1
307,0.16,37,35,7.4,1.6,1,0,1,0,0,72,9.0
