,vote-share,goals,assists,ops,dps,plus-minus,mvp,position_C,position_D,position_W,points,tps
388,0.15,8,17,2.3,2.7,-2,0,0,1,0,25,5.0
389,95.04,56,54,12.5,2.0,8,1,0,0,1,110,14.5
390,59.17,35,78,10.2,2.4,17,0,1,0,0,113,12.6
391,30.38,32,65,8.9,2.6,34,0,1,0,0,97,11.5
392,19.32,45,49,9.9,2.9,30,0,0,0,1,94,12.8
393,7.74,33,70,9.4,1.7,3,0,1,0,0,103,11.1
394,5.94,19,31,4.8,5.7,23,0,0,1,0,50,10.5
395,2.03,25,61,6.8,2.7,16,0,1,0,0,86,9.5
396,1.43,46,38,9.2,2.5,23,0,1,0,0,84,11.7
397,1.43,35,54,7.8,1.7,-2,0,0,0,1,89,9.5
398,0.98,40,39,7.9,2.2,11,0,0,0,1,79,10.100000000000001
399,0.98,31,42,9.0,4.9,24,0,0,1,0,73,13.9
400,0.83,25,66,7.3,1.9,5,0,1,0,0,91,9.2
401,0.53,16,43,5.5,5.7,31,0,0,1,0,59,11.2
402,0.53,38,33,6.5,2.7,16,0,0,0,1,71,9.2
403,0.45,31,42,6.4,1.7,13,0,1,0,0,73,8.1
404,0.3,40,35,7.1,2.7,15,0,1,0,0,75,9.8
405,0.23,16,41,5.2,5.3,6,0,0,1,0,57,10.5
406,0.23,40,31,7.7,2.1,27,0,0,0,1,71,9.8
407,0.08,30,50,7.0,2.4,22,0,1,0,0,80,9.4
408,0.08,25,63,7.3,2.5,25,0,1,0,0,88,9.8
409,67.22,29,83,10.6,2.9,35,1,1,0,0,112,13.5
410,62.71,50,59,13.0,2.5,45,0,0,0,1,109,15.5
411,54.81,51,58,12.2,2.4,15,0,1,0,0,109,14.6
412,2.11,51,44,10.9,1.9,-2,0,1,0,0,95,12.8
413,1.28,30,58,8.1,2.2,16,0,0,0,1,88,10.3
414,0.75,44,39,8.8,2.6,21,0,1,0,0,83,11.4
415,0.75,33,68,10.0,2.2,37,0,1,0,0,101,12.2
416,0.68,20,69,7.3,2.2,17,0,1,0,0,89,9.5
417,0.53,38,44,8.4,3.1,24,0,1,0,0,82,11.5
418,0.38,19,57,8.2,4.8,39,0,0,1,0,76,13.0
419,0.23,7,37,3.1,7.2,19,0,0,1,0,44,10.3
420,0.23,14,55,6.3,6.2,21,0,0,1,0,69,12.5
421,0.15,16,43,5.6,6.2,20,0,0,1,0,59,11.8
422,0.15,42,44,9.4,2.6,15,0,0,0,1,86,12.0
423,0.15,34,47,7.2,2.2,6,0,1,0,0,81,9.4
424,0.15,9,40,3.8,6.9,22,0,0,1,0,49,10.7
425,0.15,29,65,8.1,1.8,-8,0,0,0,1,94,9.9
426,0.08,10,45,4.6,6.8,22,0,0,1,0,55,11.399999999999999
427,0.08,20,59,5.6,1.8,2,0,1,0,0,79,7.3999999999999995
428,0.08,16,27,4.3,3.9,0,0,0,1,0,43,8.2
429,0.08,23,47,5.8,2.4,12,0,1,0,0,70,8.2
430,82.78,50,48,10.8,2.5,9,1,0,0,1,98,13.3
431,76.19,41,63,11.5,2.8,30,0,0,0,1,104,14.3
432,26.35,31,68,9.3,2.0,0,0,0,0,1,99,11.3
433,8.49,32,44,7.1,2.7,25,0,1,0,0,76,9.8
434,5.48,41,32,7.6,2.7,24,0,1,0,0,73,10.3
435,4.52,19,75,7.8,2.7,26,0,1,0,0,94,10.5
436,3.25,45,46,10.1,2.0,3,0,1,0,0,91,12.1
437,2.46,43,43,9.2,1.8,0,0,0,0,1,86,11.0
438,1.83,14,30,4.0,6.0,33,0,0,1,0,44,10.0
439,1.51,32,53,8.1,3.0,24,0,0,0,1,85,11.1
440,1.27,24,56,6.8,1.4,-1,0,1,0,0,80,8.2
441,0.87,16,46,6.2,3.3,-2,0,0,1,0,62,9.5
442,0.4,32,34,8.2,1.9,20,0,1,0,0,66,10.1
443,0.4,19,57,6.1,2.3,14,0,1,0,0,76,8.399999999999999
444,0.4,8,42,4.1,5.7,15,0,0,1,0,50,9.8
445,0.24,4,21,1.9,2.3,7,0,0,1,0,25,4.199999999999999
446,0.24,18,50,7.0,5.8,18,0,0,1,0,68,12.8
447,0.16,16,32,4.6,5.5,7,0,0,1,0,48,10.1
448,0.08,37,36,7.1,1.7,-3,0,1,0,0,73,8.799999999999999
449,0.08,11,48,5.4,4.5,12,0,0,1,0,59,9.9
450,98.86,50,59,13.4,2.3,18,1,1,0,0,109,15.7
451,40.13,60,37,12.8,1.9,7,0,1,0,0,97,14.700000000000001
452,30.74,28,65,8.9,1.6,6,0,0,0,1,93,10.5
453,8.99,34,50,8.8,1.7,11,0,1,0,0,84,10.5
454,3.49,19,59,8.6,4.5,16,0,0,1,0,78,13.1
455,2.68,14,67,6.1,2.6,23,0,1,0,0,81,8.7
456,2.55,37,46,8.2,2.3,-9,0,0,0,1,83,10.5
457,1.01,12,40,5.1,5.9,33,0,0,1,0,52,11.0
458,0.81,19,30,5.2,6.2,21,0,0,1,0,49,11.4
459,0.74,19,48,5.7,2.2,21,0,1,0,0,67,7.9
460,0.54,24,53,6.9,2.8,26,0,0,0,1,77,9.7
461,0.54,41,35,8.6,2.6,15,0,0,0,1,76,11.2
462,0.47,22,42,5.7,2.7,36,0,1,0,0,64,8.4
463,0.4,24,30,4.2,2.8,15,0,0,0,1,54,7.0
464,0.2,4,49,3.8,4.6,-9,0,0,1,0,53,8.399999999999999
465,0.2,35,27,6.8,2.6,24,0,0,0,1,62,9.4
466,0.13,26,37,6.2,2.0,15,0,0,0,1,63,8.2
467,0.13,40,41,9.3,1.7,6,0,0,0,1,81,11.0
468,0.07,29,48,7.3,2.1,18,0,0,0,1,77,9.4
469,60.89,32,24,7.0,1.0,2,1,0,0,1,56,8.0
470,59.11,15,41,5.8,1.7,26,0,1,0,0,56,7.5
471,51.34,28,19,5.6,1.0,-2,0,1,0,0,47,6.6
472,49.5,23,25,5.6,2.0,28,0,1,0,0,48,7.6
473,8.77,23,32,6.3,1.3,11,0,0,0,1,55,7.6
474,5.36,15,34,4.6,1.5,14,0,1,0,0,49,6.1
475,1.56,29,28,6.4,0.7,-4,0,1,0,0,57,7.1000000000000005
476,1.12,17,43,5.4,0.8,0,0,0,0,1,60,6.2
477,1.01,15,34,4.5,2.1,21,0,1,0,0,49,6.6
478,0.56,11,27,4.3,2.9,12,0,0,1,0,38,7.199999999999999
479,0.28,11,34,3.8,1.9,19,0,1,0,0,45,5.699999999999999
480,0.28,22,30,5.8,2.0,30,0,0,0,1,52,7.8
481,0.17,10,22,2.4,1.9,24,0,1,0,0,32,4.3
482,0.17,11,20,2.3,1.0,-6,0,0,0,1,31,3.3
483,0.17,4,28,2.4,3.6,2,0,0,1,0,32,6.0
484,0.17,11,37,3.9,1.2,2,0,1,0,0,48,5.1
485,0.06,6,18,2.0,3.8,19,0,0,1,0,24,5.8
486,0.06,26,7,4.2,1.0,0,0,1,0,0,33,5.2
487,0.06,20,18,4.1,2.0,31,0,0,0,1,38,6.1
488,0.06,18,20,3.4,1.3,2,0,1,0,0,38,4.7
489,0.06,18,35,5.2,1.2,5,0,1,0,0,53,6.4
490,97.81,36,68,10.7,2.8,18,1,1,0,0,104,13.5
491,64.01,31,56,8.8,2.4,28,0,1,0,0,87,11.200000000000001
492,31.75,28,58,8.1,2.1,7,0,1,0,0,86,10.2
493,10.0,30,32,6.4,2.8,38,0,1,0,0,62,9.2
494,6.13,37,47,9.3,2.2,16,0,1,0,0,84,11.5
495,5.18,41,38,8.8,2.8,23,0,1,0,0,79,11.600000000000001
496,4.23,29,41,6.4,3.7,34,0,1,0,0,70,10.100000000000001
497,3.87,28,40,6.4,2.3,26,0,1,0,0,68,8.7
498,2.55,34,45,8.4,2.5,21,0,1,0,0,79,10.9
499,2.12,43,39,9.7,2.5,32,0,0,0,1,82,12.2
500,1.39,6,55,5.1,4.9,22,0,0,1,0,61,10.0
501,0.95,28,20,6.0,1.7,16,0,0,0,1,48,7.7
502,0.8,23,47,6.6,1.5,8,0,1,0,0,70,8.1
503,0.66,33,29,6.7,2.3,17,0,0,0,1,62,9.0
504,0.66,24,42,6.7,1.1,-6,0,1,0,0,66,7.800000000000001
505,0.51,34,44,8.2,1.8,13,0,0,0,1,78,10.0
506,0.29,23,33,6.2,4.5,-2,0,0,1,0,56,10.7
507,0.22,11,65,5.3,2.6,20,0,1,0,0,76,7.9
508,0.07,24,43,5.8,2.9,16,0,0,0,1,67,8.7
509,0.07,33,37,6.7,1.8,0,0,0,0,1,70,8.5
510,0.07,51,28,9.9,0.3,-35,0,0,0,1,79,10.200000000000001
511,0.07,8,35,2.6,6.9,15,0,0,1,0,43,9.5
512,56.56,53,28,10.4,2.2,10,0,0,0,1,81,12.600000000000001
513,47.07,38,48,9.5,1.8,5,0,1,0,0,86,11.3
514,8.79,28,56,8.2,2.0,5,0,1,0,0,84,10.2
515,7.9,25,45,6.5,2.1,15,0,1,0,0,70,8.6
516,4.46,42,27,8.9,2.5,29,0,0,0,1,69,11.4
517,2.04,21,45,7.2,4.7,7,0,0,1,0,66,11.9
518,1.97,28,38,6.2,3.2,30,0,1,0,0,66,9.4
519,1.85,43,29,8.6,1.5,2,0,1,0,0,72,10.1
520,1.46,35,52,9.3,1.5,1,0,0,0,1,87,10.8
521,1.02,31,45,7.9,2.2,17,0,1,0,0,76,10.100000000000001
522,0.89,37,36,8.5,2.6,27,0,0,0,1,73,11.1
523,0.32,15,45,5.8,6.6,21,0,0,1,0,60,12.399999999999999
524,0.13,7,39,3.0,5.6,3,0,0,1,0,46,8.6
525,0.06,18,27,5.3,3.5,5,0,0,1,0,45,8.8
526,0.06,33,29,6.9,2.5,21,0,0,0,1,62,9.4
527,0.06,15,30,4.2,5.4,15,0,0,1,0,45,9.600000000000001
528,93.0,46,60,12.4,2.6,17,1,0,0,1,106,15.0
529,53.33,36,49,9.1,2.4,19,0,1,0,0,85,11.5
530,42.47,41,48,10.3,1.7,7,0,0,0,1,89,12.0
531,17.8,19,63,7.1,2.9,25,0,1,0,0,82,10.0
532,14.13,50,21,9.1,2.6,21,0,0,0,1,71,11.7
533,4.0,27,39,6.9,2.3,23,0,0,0,1,66,9.2
534,3.53,25,49,6.5,3.3,34,0,1,0,0,74,9.8
535,2.93,16,66,8.4,3.2,-2,0,0,1,0,82,11.600000000000001
536,1.93,14,37,4.5,7.1,24,0,0,1,0,51,11.6
537,0.87,40,34,8.7,2.1,7,0,0,0,1,74,10.799999999999999
538,0.67,33,37,7.4,1.9,6,0,1,0,0,70,9.3
539,0.53,38,40,8.4,3.0,25,0,1,0,0,78,11.4
540,0.4,22,45,5.4,1.5,-8,0,1,0,0,67,6.9
541,0.27,20,57,6.9,2.6,27,0,1,0,0,77,9.5
542,0.2,27,48,8.8,4.1,-5,0,0,1,0,75,12.9
543,0.2,13,50,4.4,2.6,14,0,1,0,0,63,7.0
544,0.2,21,32,4.1,2.3,5,0,1,0,0,53,6.3999999999999995
545,0.07,16,51,7.0,4.3,9,0,0,1,0,67,11.3
546,96.05,30,70,9.7,3.0,27,1,1,0,0,100,12.7
547,66.11,44,45,10.5,1.7,17,0,1,0,0,89,12.2
548,16.35,29,47,8.9,6.4,19,0,0,1,0,76,15.3
549,15.45,17,54,7.2,5.7,10,0,0,1,0,71,12.9
550,12.34,34,55,8.7,2.1,11,0,0,0,1,89,10.799999999999999
551,11.02,39,46,9.8,2.8,18,0,0,0,1,85,12.600000000000001
552,7.13,40,45,9.7,2.2,13,0,0,0,1,85,11.899999999999999
553,3.59,23,63,7.8,2.1,17,0,1,0,0,86,9.9
554,1.02,40,29,8.2,1.5,2,0,1,0,0,69,9.7
555,0.42,33,36,7.0,1.7,6,0,0,0,1,69,8.7
556,0.42,9,31,2.7,6.6,34,0,0,1,0,40,9.3
557,0.3,16,56,7.3,4.7,3,0,0,1,0,72,12.0
558,0.24,39,36,8.4,1.7,-1,0,0,0,1,75,10.1
559,0.06,35,27,6.8,2.0,13,0,0,0,1,62,8.8
560,77.07,39,54,9.9,2.3,14,1,0,0,1,93,12.2
561,72.8,39,58,10.0,2.2,11,0,1,0,0,97,12.2
562,33.6,35,57,7.9,3.1,21,0,1,0,0,92,11.0
563,33.29,34,68,9.0,2.8,28,0,0,0,1,102,11.8
564,16.46,41,67,10.5,2.6,20,0,1,0,0,108,13.1
565,10.12,39,61,9.8,1.8,15,0,0,0,1,100,11.600000000000001
566,5.91,42,56,10.2,2.2,16,0,1,0,0,98,12.399999999999999
567,4.21,23,68,7.1,2.1,13,0,0,0,1,91,9.2
568,2.26,49,38,9.3,1.9,3,0,0,0,1,87,11.200000000000001
569,1.95,43,35,8.3,3.5,49,0,1,0,0,78,11.8
570,0.61,34,51,8.4,2.5,25,0,0,0,1,85,10.9
571,0.24,27,55,6.8,2.6,23,0,0,0,1,82,9.4
572,0.18,10,50,4.4,7.3,23,0,0,1,0,60,11.7
573,0.06,30,33,6.0,2.3,21,0,1,0,0,63,8.3
574,0.06,29,60,7.3,1.8,0,0,1,0,0,89,9.1
575,0.06,17,46,5.7,5.2,32,0,0,1,0,63,10.9
576,0.06,42,34,8.0,1.8,8,0,1,0,0,76,9.8
577,98.07,41,87,12.3,2.3,24,1,0,0,1,128,14.600000000000001
578,43.22,35,65,8.9,2.4,18,0,1,0,0,100,11.3
579,27.19,41,75,10.8,2.1,3,0,1,0,0,116,12.9
580,25.85,36,63,8.8,2.1,18,0,0,0,1,99,10.9
581,18.83,36,64,9.2,2.5,15,0,0,0,1,100,11.7
582,15.5,41,58,9.1,2.7,20,0,1,0,0,99,11.8
583,12.46,51,38,9.2,1.8,7,0,0,0,1,89,11.0
584,7.31,44,66,10.2,1.6,2,0,0,0,1,110,11.799999999999999
585,3.86,17,57,6.7,5.9,39,0,0,1,0,74,12.600000000000001
586,1.23,30,53,6.9,2.9,25,0,1,0,0,83,9.8
587,1.05,33,40,6.3,2.4,17,0,0,0,1,73,8.7
588,0.88,28,49,5.8,3.0,22,0,1,0,0,77,8.8
589,0.7,45,53,10.1,1.4,4,0,1,0,0,98,11.5
590,0.47,32,47,7.7,2.3,23,0,1,0,0,79,10.0
591,0.41,35,61,7.9,2.1,-3,0,1,0,0,96,10.0
592,0.41,47,41,9.3,2.0,19,0,1,0,0,88,11.3
593,0.29,16,67,7.3,4.7,13,0,0,1,0,83,12.0
594,0.18,41,51,9.1,2.3,27,0,1,0,0,92,11.399999999999999
595,0.06,38,46,7.3,2.2,8,0,1,0,0,84,9.5
596,77.0,43,67,10.9,1.8,-7,1,1,0,0,110,12.700000000000001
597,68.35,35,58,8.9,1.9,13,0,1,0,0,93,10.8
598,52.29,32,63,8.8,2.6,36,0,0,0,1,95,11.4
599,21.71,48,47,10.8,2.4,21,0,0,0,1,95,13.200000000000001
600,18.18,34,63,9.3,1.6,-6,0,1,0,0,97,10.9
601,1.71,16,49,6.1,4.8,22,0,0,1,0,65,10.899999999999999
602,0.82,36,42,7.5,2.0,5,0,1,0,0,78,9.5
603,0.71,28,59,7.8,2.6,25,0,0,0,1,87,10.4
604,0.47,25,49,7.0,1.5,7,0,1,0,0,74,8.5
605,0.47,47,33,8.9,2.0,19,0,1,0,0,80,10.9
606,0.41,15,60,7.2,3.5,12,0,0,1,0,75,10.7
607,0.35,33,52,8.3,2.1,26,0,0,0,1,85,10.4
608,0.35,48,19,8.0,0.8,-12,0,0,0,1,67,8.8
609,0.18,27,39,5.7,2.0,16,0,1,0,0,66,7.7
610,0.06,33,51,7.7,1.9,8,0,0,0,1,84,9.6
611,0.06,27,45,6.0,1.9,11,0,1,0,0,72,7.9
612,100.0,33,72,10.7,2.2,21,1,1,0,0,105,12.899999999999999
613,60.0,41,25,7.6,1.9,21,0,1,0,0,66,9.5
614,31.3,20,45,5.9,1.9,22,0,1,0,0,65,7.800000000000001
615,22.3,24,38,5.8,1.2,8,0,1,0,0,62,7.0
616,13.4,29,40,7.3,2.3,26,0,0,0,1,69,9.6
617,12.5,26,32,5.9,1.4,12,0,1,0,0,58,7.300000000000001
618,4.4,31,53,8.4,2.5,29,0,1,0,0,84,10.9
619,3.9,21,40,5.5,2.1,26,0,0,0,1,61,7.6
620,1.5,30,36,6.8,2.3,30,0,0,0,1,66,9.1
621,1.0,8,36,4.0,3.3,17,0,0,1,0,44,7.3
622,0.5,5,42,3.7,4.1,19,0,0,1,0,47,7.8
623,0.5,20,41,5.7,1.4,12,0,0,0,1,61,7.1
624,0.4,15,51,4.9,1.2,-7,0,0,0,1,66,6.1000000000000005
625,0.4,27,24,5.4,1.3,10,0,0,0,1,51,6.7
626,0.3,24,33,5.2,2.0,16,0,1,0,0,57,7.2
627,0.2,24,30,4.7,2.2,26,0,1,0,0,54,6.9
628,0.1,20,47,5.3,2.0,21,0,0,0,1,67,7.3
629,0.1,20,28,4.5,1.5,10,0,0,0,1,48,6.0
630,83.59,60,46,11.7,2.1,20,1,1,0,0,106,13.799999999999999
631,56.97,44,79,11.1,2.8,28,0,1,0,0,123,13.899999999999999
632,31.64,40,75,10.8,3.9,64,0,0,0,1,115,14.700000000000001
633,25.95,30,85,9.6,2.3,35,0,0,0,1,115,11.899999999999999
634,12.36,23,73,8.8,5.2,13,0,0,1,0,96,14.0
635,6.46,47,61,10.7,2.0,27,0,0,0,1,108,12.7
636,2.46,28,58,8.5,6.8,48,0,0,1,0,86,15.3
637,1.44,55,55,10.9,2.4,17,0,1,0,0,110,13.3
638,0.51,50,40,9.4,2.0,8,0,0,0,1,90,11.4
639,0.31,42,64,10.1,2.4,24,0,1,0,0,106,12.5
640,0.21,39,49,8.4,2.2,36,0,1,0,0,88,10.600000000000001
641,0.15,41,38,7.7,2.4,16,0,0,0,1,79,10.1
642,0.05,32,67,8.1,2.5,15,0,1,0,0,99,10.6
643,0.05,42,62,10.1,3.5,57,0,0,0,1,104,13.6
644,99.54,64,89,15.8,2.4,22,1,1,0,0,153,18.2
645,53.72,61,52,12.1,2.9,34,0,0,0,1,113,15.0
646,37.81,40,69,9.8,2.5,29,0,0,0,1,109,12.3
647,18.16,46,63,10.8,3.1,37,0,0,0,1,109,13.9
648,14.03,42,69,10.2,2.9,29,0,1,0,0,111,13.1
649,7.24,55,50,10.2,2.6,15,0,0,0,1,105,12.799999999999999
650,7.09,52,76,12.5,1.7,7,0,1,0,0,128,14.2
651,7.04,43,56,9.4,2.0,10,0,1,0,0,99,11.4
652,1.07,30,83,8.9,1.8,-2,0,0,0,1,113,10.700000000000001
653,0.77,30,69,7.5,2.7,18,0,0,0,1,99,10.2
654,0.71,47,47,9.6,1.5,4,0,1,0,0,94,11.1
655,0.71,25,76,9.4,3.0,-26,0,0,1,0,101,12.4
656,0.51,40,45,7.7,2.9,31,0,1,0,0,85,10.6
657,0.26,40,35,7.2,2.0,4,0,0,0,1,75,9.2
658,0.2,33,60,7.4,2.2,8,0,1,0,0,93,9.600000000000001
659,0.2,39,63,8.6,2.3,16,0,1,0,0,102,10.899999999999999
660,89.69,51,89,13.1,2.9,35,1,1,0,0,140,16.0
661,65.41,44,100,13.2,2.3,8,0,0,0,1,144,15.5
662,43.56,32,100,11.2,2.9,35,0,1,0,0,132,14.1
663,38.97,69,38,12.6,2.5,31,0,1,0,0,107,15.1
664,9.02,49,71,11.7,2.7,18,0,0,0,1,120,14.399999999999999
665,3.2,17,75,7.9,6.5,38,0,0,1,0,92,14.4
666,2.11,47,63,10.7,2.6,21,0,0,0,1,110,13.299999999999999
667,1.96,42,52,8.7,2.0,7,0,1,0,0,94,10.7
668,0.41,23,62,8.0,4.8,12,0,0,1,0,85,12.8
669,0.15,37,66,9.0,2.7,32,0,1,0,0,103,11.7
670,0.05,36,53,7.7,3.2,34,0,1,0,0,89,10.9
671,0.05,57,37,10.0,3.1,29,0,1,0,0,94,13.1
